,location,total_sqft,bath,balcony,price,bedrooms
0,Electronic City Phase II,1056.0,2.0,1.0,39.07,2
1,Chikka Tirupathi,2600.0,5.0,3.0,120.0,4
3,Lingadheeranahalli,1521.0,3.0,1.0,95.0,3
5,Whitefield,1170.0,2.0,1.0,38.0,2
11,Whitefield,2785.0,5.0,3.0,295.0,4
12,7th Phase JP Nagar,1000.0,2.0,1.0,38.0,2
14,Sarjapur,2250.0,3.0,2.0,148.0,3
15,Mysore Road,1175.0,2.0,2.0,73.5,2
16,Bisuvanahalli,1180.0,3.0,2.0,48.0,3
17,Raja Rajeshwari Nagar,1540.0,3.0,3.0,60.0,3
18,other,2770.0,4.0,2.0,290.0,3
21,Binny Pete,1755.0,3.0,1.0,122.0,3
22,Thanisandra,2800.0,5.0,2.0,380.0,4
24,Thanisandra,510.0,1.0,0.0,25.25,1
26,Electronic City,660.0,1.0,1.0,23.1,2
28,Ramagondanahalli,1151.0,2.0,2.0,48.77,2
29,Electronic City,1025.0,2.0,1.0,47.0,3
30,Yelahanka,2475.0,4.0,0.0,186.0,4
31,Bisuvanahalli,1075.0,2.0,1.0,35.0,3
32,Hebbal,1760.0,2.0,2.0,123.0,3
33,Raja Rajeshwari Nagar,1693.0,3.0,3.0,57.39,3
35,Kanakpura Road,700.0,2.0,1.0,36.0,2
37,Kundalahalli,1724.0,3.0,2.0,125.0,3
41,Sarjapur  Road,1254.0,3.0,2.0,38.0,3
42,other,600.0,1.0,0.0,38.0,1
44,Kanakpura Road,1330.74,2.0,2.0,91.79,2
46,Doddathoguru,970.0,2.0,0.0,33.0,2
47,Whitefield,1459.0,2.0,1.0,94.82,2
50,other,1270.0,2.0,1.0,50.0,2
51,Bhoganhalli,1670.0,3.0,1.0,99.0,3
52,Whitefield,2010.0,3.0,2.0,91.0,3
53,Lakshminarayana Pura,1185.0,2.0,2.0,75.0,2
54,Yelahanka,1600.0,2.0,3.0,75.0,3
55,Begur Road,1200.0,2.0,2.0,44.0,2
57,other,1500.0,2.0,2.0,185.0,2
61,other,845.0,2.0,1.0,55.0,2
62,Whitefield,5700.0,5.0,3.0,650.0,4
63,Varthur,1160.0,2.0,2.0,44.0,2
66,Gunjur,1140.0,2.0,3.0,43.0,2
71,Begur Road,1358.0,2.0,1.0,80.58,2
72,Hegde Nagar,1569.0,3.0,1.0,101.0,3
73,Haralur Road,1240.0,2.0,1.0,70.0,2
74,Hennur Road,2089.0,3.0,2.0,140.0,3
77,other,2511.0,3.0,3.0,205.0,3
80,other,1660.0,2.0,2.0,105.0,3
82,Yelahanka,1326.0,2.0,2.0,78.0,2
84,EPIP Zone,1499.0,5.0,2.0,102.0,3
87,Dasanapura,708.0,2.0,2.0,37.0,2
88,Kasavanhalli,1060.0,2.0,2.0,58.06,2
90,other,1000.0,2.0,2.0,70.0,2
94,Thanisandra,1296.0,2.0,3.0,80.0,2
96,Kengeri,2894.0,4.0,1.0,245.0,4
100,Yeshwanthpur,2502.0,3.0,3.0,138.0,3
101,Chandapura,650.0,1.0,1.0,17.0,2
102,Kothanur,2400.0,2.0,1.0,150.0,3
103,other,1007.0,2.0,2.0,43.0,2
104,other,1200.0,2.0,2.0,50.0,2
107,Rajaji Nagar,1640.0,3.0,2.0,229.0,3
109,Devanahalli,1260.0,2.0,2.0,66.78,2
111,other,1413.0,2.0,2.0,75.0,3
112,Whitefield,1116.0,2.0,1.0,51.91,2
113,Electronic City,1530.0,2.0,1.0,45.9,3
115,Sarjapur  Road,2497.0,3.0,2.0,140.0,3
116,Kengeri,1540.0,2.0,3.0,64.0,3
120,Thanisandra,1427.0,3.0,2.0,120.0,3
121,Akshaya Nagar,2061.0,3.0,1.0,200.0,3
122,Hebbal,5611.5,4.0,0.0,477.0,4
124,Devanahalli,1282.0,2.0,2.0,68.52,3
126,other,1600.0,3.0,2.0,65.0,3
128,Hormavu,1500.0,2.0,1.0,78.0,2
130,other,1870.0,3.0,3.0,110.0,3
131,Sarjapur,1600.0,3.0,1.0,75.0,3
134,Kudlu Gate,1535.0,3.0,2.0,83.0,3
135,Kanakpura Road,950.0,2.0,1.0,57.0,2
136,Devanahalli,1360.0,2.0,1.0,65.0,2
137,8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2
139,other,1260.0,2.0,2.0,85.05,3
141,Yelahanka,3050.0,5.0,1.0,213.0,5
142,Kasavanhalli,1563.05,3.0,1.0,105.0,3
144,Anandapura,1167.0,2.0,1.0,43.76,2
147,Kengeri Satellite Town,890.0,2.0,1.0,35.0,2
148,other,1612.0,3.0,3.0,46.74,3
150,Mysore Road,1710.0,4.0,2.0,91.31,3
151,Kannamangala,957.0,2.0,1.0,58.0,2
154,Hulimavu,1125.0,2.0,2.0,50.0,2
155,Electronic City Phase II,1020.0,2.0,1.0,30.6,2
157,Thanisandra,1735.0,3.0,3.0,135.0,3
158,Thanisandra,2050.0,3.0,1.0,145.0,3
161,Hosa Road,1063.0,2.0,1.0,32.0,2
162,other,1904.0,3.0,1.0,150.0,3
164,other,2000.0,3.0,1.0,175.0,3
165,Sarjapur,1242.5,2.0,0.0,43.49,2
166,other,1425.0,2.0,2.0,75.0,3
167,Electronic City,1500.0,2.0,1.0,64.5,3
168,Electronic City,1060.0,2.0,1.0,60.0,2
169,other,1470.0,2.0,2.0,70.0,3
171,Attibele,450.0,1.0,1.0,11.0,1
172,Electronic City,1152.0,2.0,1.0,64.5,2
173,Electronic City,1350.0,2.0,1.0,56.0,3
174,CV Raman Nagar,1550.0,3.0,3.0,65.0,3
178,Malleshwaram,705.0,1.0,2.0,67.0,1
179,Electronic City,770.0,1.0,1.0,36.0,2
180,Hulimavu,1242.0,2.0,3.0,51.0,2
181,Hebbal Kempapura,1700.0,3.0,2.0,155.0,3
182,Thanisandra,2144.0,3.0,2.0,145.0,3
183,Vijayanagar,1704.0,3.0,2.0,110.0,3
184,Electronic City,1070.0,2.0,1.0,52.0,2
187,Electronic City,1025.0,2.0,1.0,46.0,2
188,KR Puram,1277.5,2.0,0.0,56.8,2
189,Marathahalli,1200.0,2.0,2.0,52.0,2
191,Pattandur Agrahara,1550.0,2.0,3.0,80.0,3
194,Marathahalli,1200.0,2.0,2.0,60.0,2
195,Yelahanka,1327.0,2.0,2.0,98.0,2
198,HSR Layout,1400.0,3.0,2.0,56.0,3
202,Whitefield,1225.0,2.0,2.0,47.6,2
204,Kadugodi,1260.0,2.0,2.0,54.0,3
205,Yelahanka,1282.0,2.0,2.0,48.7,3
206,other,1909.0,3.0,2.0,88.0,3
207,Panathur,1359.0,2.0,1.0,87.0,2
211,Kammasandra,1595.0,3.0,2.0,65.0,3
213,Electronics City Phase 1,1475.0,3.0,2.0,78.29,3
214,other,1580.0,3.0,3.0,100.0,3
215,Dasarahalli,1295.0,2.0,1.0,65.0,2
217,Electronic City,589.0,1.0,1.0,27.0,1
219,Sarjapur  Road,1787.0,3.0,2.0,98.29,3
220,Sarjapur  Road,1787.0,3.0,2.0,125.0,3
221,Koramangala,1475.0,2.0,3.0,90.0,3
223,Sarjapur  Road,984.0,2.0,1.0,44.28,2
225,other,2405.0,4.0,2.0,260.0,3
226,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2
230,Budigere,1153.0,2.0,2.0,56.4,2
231,other,1148.0,2.0,2.0,60.0,2
232,other,1110.0,2.0,2.0,55.0,2
233,Electronic City,1100.0,2.0,2.0,42.0,2
234,Kalyan nagar,1290.0,2.0,2.0,110.0,2
237,Vijayanagar,1933.0,3.0,1.0,129.0,3
240,Chandapura,645.0,1.0,1.0,16.45,1
242,Chandapura,645.0,1.0,1.0,16.45,1
243,other,1644.0,3.0,3.0,84.0,3
244,other,1285.0,2.0,3.0,72.5,2
246,Electronic City,910.0,2.0,1.0,40.0,2
247,Kothanur,1577.0,3.0,1.0,70.0,3
248,other,4050.0,3.0,2.0,280.0,3
249,other,2420.0,3.0,2.0,185.0,3
250,Chandapura,800.0,1.0,1.0,20.0,2
252,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2
257,Electronic City,1108.0,2.0,1.0,63.0,2
259,other,3045.0,3.0,2.0,170.0,3
260,Ambedkar Nagar,2900.0,3.0,2.0,300.0,4
261,Vijayanagar,1500.0,3.0,2.0,75.5,3
262,Raja Rajeshwari Nagar,1295.0,2.0,2.0,43.9,2
263,Budigere,1162.0,2.0,1.0,59.9,2
264,Sarjapur  Road,1035.0,2.0,2.0,49.2,2
265,Attibele,1600.0,4.0,0.0,52.8,4
267,Hennur Road,1866.0,2.0,2.0,61.58,3
268,other,700.0,1.0,1.0,26.0,2
269,Kalena Agrahara,1804.0,3.0,2.0,120.0,3
271,Talaghattapura,1868.0,3.0,2.0,131.0,3
275,Hegde Nagar,2026.0,3.0,2.0,132.0,3
276,Balagere,1210.0,2.0,1.0,80.9,2
277,other,4111.0,4.0,2.0,250.0,4
278,Kadugodi,1762.0,3.0,3.0,91.45,3
279,Jigani,1252.0,3.0,3.0,55.0,3
280,Gollarapalya Hosahalli,861.0,2.0,1.0,34.5,2
281,7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3
283,Electronics City Phase 1,1490.0,3.0,1.0,78.8,3
285,Old Madras Road,1425.0,2.0,2.0,94.0,3
286,Kalena Agrahara,1200.0,2.0,1.0,40.0,2
288,other,1084.0,2.0,2.0,50.0,2
289,Chandapura,1015.0,2.0,2.0,25.88,2
290,Kanakpura Road,1017.0,2.0,1.0,51.25,2
292,Electronic City Phase II,1069.0,2.0,2.0,45.0,2
293,Hebbal,1349.0,2.0,1.0,98.2,2
294,9th Phase JP Nagar,1005.0,2.0,1.0,50.0,2
295,Jakkur,1417.0,2.0,3.0,75.0,2
297,other,950.0,2.0,2.0,47.0,2
298,other,2000.0,4.0,0.0,120.0,4
300,Sarjapur  Road,1863.0,3.0,2.0,104.0,4
301,other,1010.0,2.0,1.0,29.5,2
302,Kalena Agrahara,1425.0,2.0,1.0,70.0,3
303,Vijayanagar,1450.0,3.0,0.0,100.0,3
304,Kothanur,1847.0,3.0,2.0,105.0,3
305,AECS Layout,1100.0,2.0,3.0,45.0,2
306,Kanakpura Road,525.0,1.0,1.0,26.0,1
307,other,1665.0,3.0,2.0,95.0,3
308,Begur,1664.0,4.0,3.0,65.0,4
309,JP Nagar,1850.0,3.0,3.0,150.0,3
310,Panathur,1438.0,2.0,3.0,100.0,2
311,other,1560.0,3.0,3.0,115.0,3
313,Kanakpura Road,1550.0,3.0,3.0,67.0,3
317,Whitefield,1280.0,2.0,2.0,75.0,2
319,other,1113.0,2.0,1.0,51.0,2
320,Hennur Road,1385.0,2.0,1.0,83.09,2
321,Electronic City,1128.0,2.0,1.0,65.0,2
324,Rajaji Nagar,2390.0,3.0,2.0,415.0,3
326,Haralur Road,1464.0,3.0,2.0,56.0,3
328,other,1200.0,2.0,2.0,52.0,2
329,Kaggalipura,1150.0,2.0,1.0,55.0,3
330,other,1645.0,3.0,2.0,95.0,3
333,other,1192.0,2.0,2.0,74.0,2
334,other,2135.0,3.0,2.0,215.0,3
335,Whitefield,1173.0,2.0,1.0,58.0,2
336,Uttarahalli,1020.0,2.0,2.0,45.0,2
337,Thigalarapalya,3122.0,6.0,2.0,230.0,4
341,other,1250.0,2.0,2.0,40.0,2
342,Kalena Agrahara,1325.0,2.0,2.0,76.0,2
343,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3
347,Bommasandra,1260.0,3.0,1.0,49.36,3
348,other,1800.0,3.0,0.0,150.0,3
350,Ardendale,1100.0,2.0,1.0,43.25,2
351,Harlur,1508.0,2.0,1.0,77.0,2
352,other,1592.0,3.0,2.0,75.0,3
353,Akshaya Nagar,1388.0,2.0,3.0,57.0,2
354,Electronic City Phase II,630.0,1.0,1.0,28.35,1
358,Kodihalli,3252.0,5.0,3.0,335.0,4
359,Magadi Road,1116.0,2.0,1.0,50.0,2
360,other,1308.0,2.0,2.0,89.04,2
364,Hennur,1075.0,2.0,1.0,52.0,2
365,Chandapura,530.0,1.0,0.0,11.66,1
367,5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2
368,KR Puram,930.0,2.0,2.0,39.0,2
369,Balagere,1380.0,2.0,1.0,60.0,2
370,Hebbal,2483.0,5.0,2.0,212.0,4
371,other,1166.0,2.0,2.0,55.0,2
372,Bannerghatta Road,1050.0,2.0,1.0,65.0,2
373,other,2023.71,3.0,2.0,275.0,3
374,Begur Road,1200.0,2.0,2.0,46.8,2
375,Lakshminarayana Pura,1600.0,2.0,1.0,108.0,3
376,Billekahalli,1935.0,3.0,2.0,110.0,3
377,8th Phase JP Nagar,451.0,1.0,0.0,29.9,1
378,Electronic City,1800.0,3.0,2.0,95.0,3
379,Jalahalli,1400.0,3.0,0.0,77.0,3
380,Hegde Nagar,1801.0,3.0,2.0,115.0,3
383,Begur Road,1160.0,2.0,2.0,44.0,2
385,Kanakpura Road,950.0,2.0,1.0,40.0,2
388,Vijayanagar,1826.0,3.0,2.0,121.0,3
389,7th Phase JP Nagar,1245.0,2.0,1.0,94.0,2
390,Raja Rajeshwari Nagar,1145.0,2.0,2.0,45.79,2
391,other,825.0,2.0,1.0,33.0,2
392,Yeshwanthpur,1693.0,3.0,3.0,108.0,3
393,Electronics City Phase 1,1113.27,2.0,2.0,53.0,2
394,other,1460.0,2.0,1.0,58.0,2
395,Doddathoguru,1050.0,2.0,1.0,32.0,2
396,Dodda Nekkundi,1260.0,2.0,2.0,55.0,2
398,Hosur Road,1656.0,2.0,1.0,120.0,2
399,Chandapura,1208.0,3.0,1.0,45.0,3
400,Whitefield,1910.0,3.0,2.0,161.0,3
401,Whitefield,3252.0,4.0,1.0,230.0,4
404,7th Phase JP Nagar,1175.0,2.0,1.0,82.0,2
407,Rajaji Nagar,2390.0,3.0,2.0,410.0,3
412,Kengeri,750.0,2.0,1.0,38.0,2
414,Kanakpura Road,1550.0,3.0,3.0,64.5,3
415,other,1760.0,3.0,2.0,88.0,3
416,Billekahalli,1125.0,2.0,2.0,62.0,2
421,Budigere,1991.0,4.0,2.0,103.0,3
422,Bommasandra,1060.0,2.0,1.0,26.5,2
423,Ambalipura,1105.0,2.0,1.0,75.0,2
424,Hoodi,985.0,2.0,2.0,67.0,2
426,Balagere,1590.0,3.0,2.0,79.0,3
427,CV Raman Nagar,1120.0,2.0,2.0,55.0,2
428,other,1069.0,2.0,1.0,55.0,2
429,Marathahalli,1933.0,3.0,2.0,140.0,3
430,Hosur Road,1194.0,2.0,0.0,69.0,2
431,Brookefield,1150.0,2.0,3.0,69.0,2
433,Raja Rajeshwari Nagar,1419.0,2.0,2.0,48.1,2
436,other,1450.0,3.0,2.0,55.0,3
437,other,1630.0,3.0,2.0,68.29,3
438,Dasanapura,708.0,1.0,1.0,40.0,2
441,Bellandur,1250.0,2.0,1.0,76.0,2
442,7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3
444,Ardendale,1750.0,3.0,2.0,100.0,3
445,Vittasandra,1404.0,2.0,1.0,71.0,2
446,Hoodi,1715.0,2.0,2.0,95.0,3
447,Electronic City,630.0,1.0,1.0,34.65,1
